Filename,t1,t1_error,A,A_error,y0,y0_error,R_squared,Iterations
ZE15_1000_Ag_as.csv,20.5594941402257,1.28720916500706,-0.0219607271690127,-1.23456789e-300,0.0228029041647092,0.000654178719275489,0.9651682145354428,5.0
ZE15_1000_as.csv,15.1190192863739,0.544111007193927,-0.0277635185844555,3041.15540582333,0.0359840788200195,0.000354584034094928,0.9808197836504098,5.0
ZE15_250_Ag_as.csv,21.8544914674458,1.28571749131555,-0.0272528078368998,3908.52172055375,0.0293382696547798,0.000750202598210693,0.9721140175410059,6.0
ZE15_500_Ag_as.csv,17.2288359834046,0.8739840306167,-0.0195705131220404,4085.05128573393,0.0211600153052207,0.000407589149332901,0.96924290158238,4.0
ZE16_1000_Ag_as.csv,28.6490633250698,1.58761353776985,-0.0351848182086211,-1.23456789e-300,0.0414299951709473,0.0011167067525042,0.9845717234370098,6.0
ZE16_1000_as.csv,44.0327084581267,5.29529298755243,-0.0330156127355797,-1.23456789e-300,0.0401120795296206,0.00298699164049202,0.968298669879448,5.0
ZE16_250_Ag_as.csv,32.5778966733686,4.5036158616805,-0.017842919176869,-1.23456789e-300,0.0229874472811979,0.00173653003338448,0.9286747930911033,6.0
ZE16_500_Ag_as.csv,20.2299284003574,1.13213178661606,-0.0214781395771528,-1.23456789e-300,0.0280129443624604,0.000503021109828138,0.9712157800997834,5.0
ZE17_1000_Ag_as.csv,34.9476252080086,1.92498640306898,-0.0467572395658389,3263.93673945078,0.0548465971030777,0.00163715221854103,0.9894295247377611,6.0
ZE17_1000_as.csv,42.0949817793123,2.89507398736793,-0.0539606768668991,-1.23456789e-300,0.0578157734994565,0.00229067117303415,0.9884570690980513,5.0
ZE17_250_Ag_as.csv,17.3914247559392,0.833905618881423,-0.0232411419061306,7056.69721388927,0.0349912105927861,0.00044137657208178,0.9728300851794521,6.0
ZE17_500_Ag_as.csv,38.0466693675352,3.40015892901103,-0.0407841719321231,-1.23456789e-300,0.0490712373260269,0.00230924566860362,0.9766270393395325,5.0
ZE18_1000_Ag_as.csv,24.3481579764454,0.840745175916814,-0.0553125692676639,3328.36094405147,0.0629331155928635,0.000892596366936376,0.9918954069934639,5.0
ZE18_1000_as.csv,24.5529709653167,1.28133788026464,-0.0345721132658842,-1.23456789e-300,0.0380418800055972,0.000949939353204938,0.9819456157274992,6.0
ZE18_250_Ag_as.csv,19.8723440034946,0.972487472817828,-0.0311653370771362,-1.23456789e-300,0.0398374161188811,0.000678934633171621,0.9771768466747125,7.0
ZE18_500_Ag_as.csv,19.7152652294008,0.724474928063441,-0.0462743584047081,-1.23456789e-300,0.0500647594721939,0.0006920936963836769,0.986828955540629,5.0
ZE19_1000_Ag_as.csv,52.6896179639283,3.32779615718945,-0.080191792617379,7253.43256538992,0.0983529402024765,0.00415106380430248,0.9936665084304214,6.0
ZE19_1000_as.csv,47.508056699199,3.7897546167191,-0.0502046222653771,3327.95099959316,0.0654353493271008,0.00294542948077655,0.9877165422287175,6.0
ZE19_250_Ag_as.csv,21.1982400800474,1.45371515920855,-0.0224687158327329,-1.23456789e-300,0.0299200629729268,0.000720557980796212,0.9605348781484396,5.0
ZE19_500_Ag_as.csv,32.7953281064199,2.3251942078555,-0.0410011250524513,-1.23456789e-300,0.0508866107098721,0.00176591781686061,0.9804386137746954,6.0
ZE20_1000_Ag_as.csv,17.963417298554,0.362360094206796,-0.0590298603683043,3088.3095126725,0.0723035009242093,0.000487727934973876,0.995330567822183,4.0
ZE20_1000_as.csv,17.1906734285087,0.454473882348594,-0.054005205733485,6083.17615968912,0.0646929804210536,0.000558484807499667,0.9914247419287463,5.0
ZE20_250_Ag_as.csv,29.9309586540082,1.75410708800868,-0.0412922669125922,-1.23456789e-300,0.0531449331794032,0.00139054242803574,0.9840922933069137,5.0
ZE20_500_Ag_as.csv,20.3816070018639,0.640393025894206,-0.0501293455343062,6051.48665671762,0.054500211473007,0.0006689881389217049,0.9908598550401431,4.0
ZE21_1000_Ag_as.csv,20.5715669304506,0.801914773127184,-0.0355939967011466,-1.23456789e-300,0.0474825000600393,0.0006330928868739509,0.9862165284501792,4.0
ZE21_1000_as.csv,21.0039261772143,1.08483613680197,-0.0242895347304426,3295.55477181413,0.0297187274349372,0.00064283703471891,0.9768699157904486,6.0
ZE21_250_Ag_as.csv,20.5671661892376,1.40474189576836,-0.0243822213469647,2954.78792732322,0.0367831132237943,0.000749487925809286,0.958845632545407,8.0
ZE21_500_Ag_as.csv,20.7716764722608,1.11781184865055,-0.0363996268927531,16597.4943641294,0.0420192483141944,0.000769585043705813,0.9744701504101362,4.0
ZE22_1000_Ag_as.csv,22.9303080219009,0.954784799996058,-0.048009602329375,-1.23456789e-300,0.0560999233082408,0.00095623856988681,0.9869594764791088,5.0
ZE22_1000_as.csv,30.5185151893575,1.29450768695747,-0.0575499291891001,-1.23456789e-300,0.0645202106415213,0.0013692481392974,0.9918981197122072,5.0
ZE22_250_Ag_as.csv,27.4636160575366,1.54032615806909,-0.0409794459329735,-1.23456789e-300,0.0464696676994283,0.00122505488261772,0.9829513009198503,6.0
ZE22_500_Ag_as.csv,23.9704352198329,1.34367170387536,-0.0386189509925509,-1.23456789e-300,0.0473829410019863,0.00102508962818729,0.9783389980274501,5.0
ZE23_1000_Ag_as.csv,23.9542480009261,1.04475024904205,-0.0389313218109883,3324.02953707166,0.0496877614895917,0.000797899536982366,0.9867582155497406,4.0
ZE23_1000_as.csv,23.1327405209997,1.16631038294271,-0.0372738250045603,5776.63372163647,0.042806410472824,0.000926586663946094,0.981282173455767,7.0
